Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 04, 2023",197.85,198.96,194.64,198.92,198.92,"1,421,900"
"Oct 03, 2023",198.12,199.59,196.72,197.18,197.18,"1,679,400"
"Oct 02, 2023",199.53,200.19,196.99,199.01,199.01,"1,483,100"
"Sep 29, 2023",202.84,202.84,199.30,200.08,200.08,"1,406,600"
"Sep 28, 2023",202.97,203.91,200.50,201.84,201.84,"1,591,900"
"Sep 27, 2023",204.90,205.68,201.85,202.56,202.56,"1,137,500"
"Sep 26, 2023",205.59,205.99,204.01,205.20,205.20,"1,118,500"
"Sep 25, 2023",207.00,208.32,204.61,205.97,205.97,"1,409,800"
"Sep 22, 2023",208.00,210.29,207.38,207.94,207.94,"2,465,900"
"Sep 21, 2023",211.22,211.70,208.04,208.15,208.15,"1,516,100"
"Sep 20, 2023",210.21,212.14,208.25,211.33,211.33,"1,311,700"
"Sep 19, 2023",212.34,212.85,208.62,209.07,209.07,"1,534,100"
"Sep 18, 2023",213.12,213.72,210.49,212.46,212.46,"985,100"
"Sep 15, 2023",211.82,213.86,211.24,212.36,212.36,"2,600,800"
"Sep 14, 2023",210.02,212.47,209.40,211.79,211.79,"1,157,600"
"Sep 13, 2023",209.23,210.74,207.82,209.71,209.71,"1,155,800"
"Sep 12, 2023",211.54,211.81,206.69,207.59,207.59,"1,293,100"
"Sep 11, 2023",209.00,212.23,208.96,212.03,212.03,"1,047,800"
"Sep 08, 2023",209.34,209.67,207.50,209.03,209.03,"984,100"
"Sep 07, 2023",211.50,212.75,208.62,208.99,208.99,"1,079,000"
"Sep 06, 2023",212.18,212.68,210.08,210.39,210.39,"1,006,500"
"Sep 05, 2023",213.67,214.67,211.33,212.10,212.10,"1,087,200"
"Sep 01, 2023",214.75,215.20,213.23,213.85,213.85,"1,221,600"
"Aug 31, 2023",217.43,217.44,214.81,214.86,214.86,"1,442,900"
"Aug 30, 2023",218.16,219.92,217.01,217.31,217.31,"1,041,700"
"Aug 29, 2023",219.06,219.42,216.58,217.69,217.69,"1,335,200"
"Aug 28, 2023",217.35,218.64,217.30,218.01,218.01,"603,400"
"Aug 25, 2023",215.14,217.98,214.65,217.31,217.31,"1,390,100"
"Aug 24, 2023",215.69,216.77,213.84,213.88,213.88,"1,278,000"
"Aug 23, 2023",214.36,215.68,214.14,215.32,215.32,"872,400"
"Aug 22, 2023",217.04,217.83,213.71,213.85,213.85,"1,532,000"
"Aug 21, 2023",217.99,218.50,215.48,216.29,216.29,"1,640,200"
"Aug 18, 2023",217.65,221.27,217.65,218.78,218.78,"1,142,400"
"Aug 17, 2023",218.93,219.29,217.23,217.52,217.52,"1,634,600"
