Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 12, 2023",247.94,250.97,244.59,249.83,249.83,"150,337,900"
"Jun 13, 2023",253.51,259.68,251.34,258.71,258.71,"162,384,300"
"Jun 14, 2023",260.17,261.57,250.50,256.79,256.79,"170,575,500"
"Jun 15, 2023",248.40,258.95,247.29,255.90,255.90,"160,171,200"
"Jun 16, 2023",258.92,263.60,257.21,260.54,260.54,"167,563,700"
"Jun 20, 2023",261.50,274.75,261.12,274.45,274.45,"165,611,200"
"Jun 21, 2023",275.13,276.99,257.78,259.46,259.46,"211,797,100"
"Jun 22, 2023",250.77,265.00,248.25,264.61,264.61,"166,875,900"
"Jun 23, 2023",259.29,262.45,252.80,256.60,256.60,"176,584,100"
"Jun 26, 2023",250.07,258.37,240.70,241.05,241.05,"179,990,600"
"Jun 27, 2023",243.24,250.39,240.85,250.21,250.21,"164,968,200"
"Jun 28, 2023",249.70,259.88,248.89,256.24,256.24,"159,770,800"
"Jun 29, 2023",258.03,260.74,253.61,257.50,257.50,"131,283,400"
"Jun 30, 2023",260.60,264.45,259.89,261.77,261.77,"112,267,600"
"Jul 03, 2023",276.49,284.25,275.11,279.82,279.82,"119,685,900"
"Jul 05, 2023",278.82,283.85,277.60,282.48,282.48,"131,530,900"
"Jul 06, 2023",278.09,279.97,272.88,276.54,276.54,"120,332,100"
"Jul 07, 2023",278.43,280.78,273.77,274.43,274.43,"113,602,000"
"Jul 10, 2023",276.47,277.52,265.10,269.61,269.61,"119,425,400"
"Jul 11, 2023",268.65,270.90,266.37,269.79,269.79,"91,972,400"
"Jul 12, 2023",276.33,276.52,271.46,271.99,271.99,"95,672,100"
"Jul 13, 2023",274.59,279.45,270.60,277.90,277.90,"112,681,500"
"Jul 14, 2023",277.01,285.30,276.31,281.38,281.38,"119,771,100"
"Jul 17, 2023",286.63,292.23,283.57,290.38,290.38,"131,569,600"
"Jul 18, 2023",290.15,295.26,286.01,293.34,293.34,"112,434,700"
"Jul 19, 2023",296.04,299.29,289.52,291.26,291.26,"142,355,400"
"Jul 20, 2023",279.56,280.93,261.20,262.90,262.90,"175,158,300"
"Jul 21, 2023",268.00,268.00,255.80,260.02,260.02,"161,050,100"
"Jul 24, 2023",255.85,269.85,254.12,269.06,269.06,"136,508,500"
"Jul 25, 2023",272.38,272.90,265.00,265.28,265.28,"112,757,300"
"Jul 26, 2023",263.25,268.04,261.75,264.35,264.35,"95,856,200"
"Jul 27, 2023",268.31,269.13,255.30,255.71,255.71,"103,697,300"
"Jul 28, 2023",259.86,267.25,258.23,266.44,266.44,"111,446,000"
"Jul 31, 2023",267.48,269.08,263.78,267.43,267.43,"84,582,200"
"Aug 01, 2023",266.26,266.47,260.25,261.07,261.07,"83,166,000"
"Aug 02, 2023",255.57,259.52,250.49,254.11,254.11,"101,752,900"
"Aug 03, 2023",252.04,260.49,252.00,259.32,259.32,"97,569,100"
"Aug 04, 2023",260.97,264.77,253.11,253.86,253.86,"99,242,600"
"Aug 07, 2023",251.45,253.65,242.76,251.45,251.45,"111,097,900"
"Aug 08, 2023",247.45,250.92,245.01,249.70,249.70,"96,642,200"
"Aug 09, 2023",250.87,251.10,241.90,242.19,242.19,"101,596,300"
"Aug 10, 2023",245.40,251.80,243.00,245.34,245.34,"109,498,600"
"Aug 11, 2023",241.77,243.79,238.02,242.65,242.65,"98,866,600"
"Aug 14, 2023",235.70,240.66,233.75,239.76,239.76,"98,595,300"
"Aug 15, 2023",238.73,240.50,232.61,232.96,232.96,"88,197,600"
"Aug 16, 2023",228.02,233.97,225.38,225.60,225.60,"112,484,500"
"Aug 17, 2023",226.06,226.74,218.83,219.22,219.22,"120,718,400"
"Aug 18, 2023",214.12,217.58,212.36,215.49,215.49,"135,813,700"
"Aug 21, 2023",221.55,232.13,220.58,231.28,231.28,"135,702,700"
"Aug 22, 2023",240.25,240.82,229.55,233.19,233.19,"130,597,900"
"Aug 23, 2023",229.34,238.98,229.29,236.86,236.86,"101,077,600"
"Aug 24, 2023",238.66,238.92,228.18,230.04,230.04,"99,777,400"
"Aug 25, 2023",231.31,239.00,230.35,238.59,238.59,"106,612,200"
"Aug 28, 2023",242.58,244.38,235.35,238.82,238.82,"107,673,700"
"Aug 29, 2023",238.58,257.48,237.77,257.18,257.18,"134,047,600"
"Aug 30, 2023",254.20,260.51,250.59,256.90,256.90,"121,988,400"
"Aug 31, 2023",255.98,261.18,255.05,258.08,258.08,"108,861,700"
"Sep 01, 2023",257.26,259.08,242.01,245.01,245.01,"132,272,500"
"Sep 05, 2023",245.00,258.00,244.86,256.49,256.49,"129,469,600"
"Sep 06, 2023",255.14,255.39,245.06,251.92,251.92,"116,959,800"
"Sep 07, 2023",245.07,252.81,243.27,251.49,251.49,"115,312,900"
"Sep 08, 2023",251.22,256.52,246.67,248.50,248.50,"118,367,700"
"Sep 11, 2023",264.27,274.85,260.61,273.58,273.58,"174,667,900"
"Sep 12, 2023",270.76,278.39,266.60,267.48,267.48,"135,999,900"
