Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 04, 2023",38.81,38.81,37.50,37.50,37.50,600
"Oct 03, 2023",39.21,39.21,39.21,39.21,39.21,700
"Oct 02, 2023",39.42,39.42,39.42,39.42,39.42,-
"Sep 29, 2023",38.61,39.42,37.80,39.42,39.42,"1,200"
"Sep 28, 2023",38.65,38.65,38.65,38.65,38.65,-
"Sep 27, 2023",38.25,38.65,38.25,38.65,38.65,400
"Sep 26, 2023",38.66,39.18,38.66,39.18,39.18,"1,700"
"Sep 25, 2023",38.50,39.66,38.50,39.66,39.66,400
"Sep 22, 2023",38.14,38.14,38.14,38.14,38.14,100
"Sep 21, 2023",38.17,38.84,38.14,38.14,38.14,"1,300"
"Sep 20, 2023",39.20,39.68,39.20,39.68,39.68,600
"Sep 19, 2023",39.00,39.00,39.00,39.00,39.00,800
"Sep 18, 2023",38.98,38.98,38.98,38.98,38.98,400
"Sep 15, 2023",39.25,39.25,39.25,39.25,39.25,200
"Sep 14, 2023",39.25,39.25,38.53,38.53,38.53,"1,600"
"Sep 13, 2023",38.55,39.25,38.55,39.25,39.25,"10,000"
"Sep 12, 2023",38.00,38.26,37.50,38.26,38.26,"1,300"
"Sep 11, 2023",38.00,38.51,37.26,37.26,37.26,"6,800"
"Sep 08, 2023",38.00,38.00,38.00,38.00,38.00,-
"Sep 07, 2023",38.00,38.00,38.00,38.00,38.00,-
"Sep 06, 2023",38.00,38.00,38.00,38.00,38.00,400
"Sep 05, 2023",37.83,37.83,37.74,37.74,37.74,"1,300"
"Sep 01, 2023",37.77,38.61,37.77,38.61,38.61,500
"Aug 31, 2023",38.51,38.51,36.47,38.16,38.16,"9,500"
"Aug 30, 2023",38.61,38.61,37.26,38.26,38.26,"2,900"
"Aug 29, 2023",38.30,38.30,38.30,38.30,38.30,"2,900"
"Aug 28, 2023",38.30,38.30,36.95,38.00,38.00,900
"Aug 25, 2023",37.36,38.25,37.36,37.97,37.97,"1,900"
"Aug 24, 2023",37.73,38.00,37.73,38.00,38.00,400
"Aug 23, 2023",37.35,38.40,37.35,38.40,38.40,700
"Aug 22, 2023",38.10,38.10,36.86,36.86,36.86,800
"Aug 21, 2023",37.50,37.50,37.50,37.50,37.50,"1,000"
"Aug 18, 2023",37.38,37.38,37.38,37.38,37.38,"1,500"
"Aug 17, 2023",37.17,37.99,37.17,37.99,37.99,600
"Aug 16, 2023",37.33,37.80,36.88,36.88,36.88,"53,300"
"Aug 15, 2023",37.33,38.00,37.33,37.85,37.85,"12,500"
"Aug 14, 2023",38.00,38.15,37.50,38.15,38.15,"1,100"
"Aug 11, 2023",38.45,38.45,38.00,38.00,38.00,500
"Aug 10, 2023",38.77,38.77,38.37,38.57,38.57,400
"Aug 09, 2023",39.31,39.31,38.77,38.77,38.77,"1,400"
"Aug 08, 2023",39.61,39.61,38.84,38.96,38.96,"4,200"
"Aug 07, 2023",39.52,39.76,39.31,39.74,39.74,"1,500"
"Aug 04, 2023",39.52,39.52,39.52,39.52,39.52,-
"Aug 03, 2023",39.52,39.52,39.52,39.52,39.52,700
"Aug 02, 2023",41.26,41.26,40.15,40.15,40.15,"1,700"
"Aug 01, 2023",41.57,41.57,41.57,41.57,41.57,100
"Jul 31, 2023",41.75,41.77,41.50,41.57,41.57,"1,800"
"Jul 28, 2023",41.50,41.58,41.50,41.50,41.50,500
"Jul 27, 2023",40.45,40.90,40.45,40.90,40.90,"3,600"
"Jul 26, 2023",40.08,41.00,40.08,41.00,41.00,"1,600"
"Jul 25, 2023",40.40,41.20,40.40,41.20,41.20,"1,200"
"Jul 24, 2023",40.72,40.94,40.72,40.90,40.90,700
"Jul 21, 2023",41.26,41.26,41.00,41.00,41.00,700
"Jul 20, 2023",42.34,42.34,40.97,41.41,41.41,900
"Jul 19, 2023",41.68,42.26,41.17,42.26,42.26,"2,000"
"Jul 18, 2023",42.25,42.64,42.21,42.21,42.21,"1,600"
"Jul 17, 2023",42.34,42.96,41.62,42.58,42.58,"4,600"
"Jul 14, 2023",44.38,44.38,43.05,43.50,43.50,"2,100"
"Jul 13, 2023",42.60,42.97,42.51,42.65,42.65,"2,100"
"Jul 12, 2023",42.50,42.61,42.25,42.61,42.61,"2,000"
"Jul 11, 2023",42.50,42.50,42.49,42.49,42.49,400
"Jul 10, 2023",42.38,42.38,41.58,42.33,42.33,"9,400"
"Jul 07, 2023",42.24,42.38,41.46,42.00,42.00,"1,500"
"Jul 06, 2023",42.00,42.34,41.93,42.34,42.34,"3,200"
"Jul 05, 2023",42.00,42.25,41.57,42.25,42.25,600
"Jul 03, 2023",41.00,42.25,41.00,42.25,42.25,"4,500"
