Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 04, 2023",143.19,143.47,141.93,143.35,143.35,"8,126,900"
"Oct 03, 2023",143.20,143.59,142.35,142.71,142.71,"9,431,100"
"Oct 02, 2023",144.83,145.62,142.63,143.77,143.77,"9,170,600"
"Sep 29, 2023",148.60,148.76,144.86,145.02,145.02,"11,915,700"
"Sep 28, 2023",146.28,148.87,146.01,147.59,147.59,"8,868,100"
"Sep 27, 2023",145.19,146.09,144.51,145.78,145.78,"6,717,800"
"Sep 26, 2023",144.60,145.84,144.23,144.93,144.93,"7,468,400"
"Sep 25, 2023",145.35,146.52,143.70,146.45,146.45,"7,044,700"
"Sep 22, 2023",147.29,147.51,145.19,145.73,145.73,"7,071,700"
"Sep 21, 2023",147.58,148.85,146.63,147.14,147.14,"8,052,400"
"Sep 20, 2023",149.65,150.25,148.14,148.30,148.30,"7,332,000"
"Sep 19, 2023",149.50,149.72,147.21,148.93,148.93,"7,943,400"
"Sep 18, 2023",148.16,149.14,147.75,149.12,149.12,"6,512,400"
"Sep 15, 2023",148.92,149.73,148.31,148.81,148.81,"19,824,100"
"Sep 14, 2023",147.84,149.90,147.52,149.25,149.25,"10,034,900"
"Sep 13, 2023",147.34,147.70,145.82,146.41,146.41,"8,325,900"
"Sep 12, 2023",144.50,147.32,144.05,146.34,146.34,"8,363,200"
"Sep 11, 2023",144.75,145.05,143.69,144.46,144.46,"6,854,200"
"Sep 08, 2023",143.37,144.12,142.65,143.83,143.83,"7,107,900"
"Sep 07, 2023",144.13,145.27,143.39,143.72,143.72,"8,373,700"
"Sep 06, 2023",144.70,145.54,144.11,144.96,144.96,"8,629,200"
"Sep 05, 2023",147.16,148.21,145.01,145.20,145.20,"7,854,700"
"Sep 01, 2023",146.09,148.08,145.70,146.82,146.82,"7,902,100"
"Aug 31, 2023",148.26,148.35,145.96,146.33,146.33,"10,933,900"
"Aug 30, 2023",148.62,149.15,147.19,148.16,148.16,"6,277,300"
"Aug 29, 2023",147.71,148.85,147.18,148.76,148.76,"6,337,000"
"Aug 28, 2023",147.57,148.61,147.13,147.56,147.56,"5,094,100"
"Aug 25, 2023",147.28,148.62,145.85,147.05,147.05,"6,695,500"
"Aug 24, 2023",147.50,149.41,146.99,147.23,147.23,"6,534,000"
"Aug 23, 2023",146.35,147.59,145.46,147.37,147.37,"7,858,000"
"Aug 22, 2023",149.26,149.64,145.85,146.38,146.38,"9,682,000"
"Aug 21, 2023",149.65,150.10,148.02,149.48,149.48,"8,327,000"
"Aug 18, 2023",147.65,149.50,147.44,148.97,148.97,"8,516,900"
"Aug 17, 2023",150.88,151.26,148.40,148.63,148.63,"9,953,900"
"Aug 16, 2023",150.60,150.96,149.68,150.19,150.19,"6,978,200"
"Aug 15, 2023",152.85,153.27,150.23,150.83,150.83,"10,300,300"
"Aug 14, 2023",153.61,154.92,152.92,154.77,154.77,"5,044,300"
"Aug 11, 2023",153.03,154.52,152.63,154.45,154.45,"5,178,000"
"Aug 10, 2023",154.38,155.44,153.09,153.56,153.56,"5,995,100"
"Aug 09, 2023",155.32,155.52,153.47,153.79,153.79,"6,277,800"
"Aug 08, 2023",154.32,155.98,152.59,155.88,155.88,"8,623,400"
"Aug 07, 2023",156.60,157.70,156.60,156.76,156.76,"7,251,800"
"Aug 04, 2023",156.40,157.80,155.70,156.02,156.02,"6,206,600"
"Aug 03, 2023",155.00,156.92,154.35,156.35,156.35,"6,084,000"
"Aug 02, 2023",155.56,155.69,153.94,155.40,155.40,"8,299,400"
"Aug 01, 2023",157.43,158.00,156.15,157.18,157.18,"6,853,900"
"Jul 31, 2023",157.18,159.38,157.15,157.96,157.96,"8,892,700"
"Jul 28, 2023",157.28,157.60,156.44,156.91,156.91,"9,103,800"
"Jul 27, 2023",157.77,158.78,155.55,156.02,156.02,"10,778,400"
"Jul 26, 2023",156.71,158.25,156.28,157.76,157.76,"8,728,600"
"Jul 25, 2023",157.30,157.72,155.96,156.82,156.82,"9,944,700"
"Jul 24, 2023",154.97,158.79,154.73,158.00,158.00,"14,381,400"
"Jul 21, 2023",155.80,156.14,154.69,154.95,154.95,"10,633,100"
"Jul 20, 2023",154.53,156.59,154.41,156.15,156.15,"9,935,900"
"Jul 19, 2023",152.75,155.21,152.22,154.25,154.25,"12,510,000"
"Jul 18, 2023",153.38,154.40,152.82,153.66,153.66,"13,491,700"
"Jul 17, 2023",150.35,153.75,150.35,153.38,153.38,"17,262,400"
"Jul 14, 2023",151.55,152.89,148.41,149.77,149.77,"27,011,600"
"Jul 13, 2023",148.70,149.37,147.75,148.87,148.87,"11,234,900"
"Jul 12, 2023",147.45,149.87,147.00,148.15,148.15,"11,323,200"
"Jul 11, 2023",146.34,147.82,145.71,147.42,147.42,"11,265,600"
"Jul 10, 2023",144.50,145.99,144.50,145.15,145.15,"9,100,100"
"Jul 07, 2023",143.91,145.84,143.00,144.34,144.34,"8,977,500"
"Jul 06, 2023",143.02,143.39,141.44,143.21,143.21,"9,709,500"
"Jul 05, 2023",144.94,145.43,144.36,144.64,144.64,"8,934,900"
"Jul 05, 2023",1Dividend
"Jul 03, 2023",146.19,147.48,146.00,146.61,145.61,"8,021,600"
"Jun 30, 2023",144.60,146.00,143.66,145.44,144.45,"14,208,500"
"Jun 29, 2023",140.07,143.56,139.85,143.43,142.45,"15,423,200"
"Jun 28, 2023",139.16,139.21,137.96,138.59,137.64,"7,558,600"
"Jun 27, 2023",139.00,139.84,138.54,139.20,138.25,"8,154,000"
"Jun 26, 2023",138.87,140.01,137.69,139.19,138.24,"8,429,700"
"Jun 23, 2023",138.54,139.18,137.62,138.85,137.90,"9,907,500"
"Jun 22, 2023",142.31,142.60,138.95,139.58,138.63,"10,075,200"
"Jun 21, 2023",142.90,144.02,141.69,142.32,141.35,"9,926,500"
"Jun 20, 2023",142.61,143.00,141.04,142.53,141.56,"8,428,600"
"Jun 16, 2023",143.05,143.97,142.50,143.26,142.28,"13,812,100"
"Jun 15, 2023",140.59,143.40,140.03,143.09,142.11,"9,343,100"
"Jun 14, 2023",143.00,143.61,140.70,141.49,140.52,"9,068,700"
"Jun 13, 2023",140.48,142.87,140.14,142.02,141.05,"7,701,600"
"Jun 12, 2023",141.07,141.32,139.76,141.00,140.04,"7,596,600"
"Jun 09, 2023",140.35,141.80,140.21,141.01,140.05,"7,249,100"
"Jun 08, 2023",140.67,140.89,139.48,140.73,139.77,"7,368,100"
"Jun 07, 2023",139.55,141.27,138.83,140.69,139.73,"9,281,400"
