Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 14, 2023",143.00,143.61,140.70,141.49,139.50,"9,068,700"
"Jun 15, 2023",140.59,143.40,140.03,143.09,141.07,"9,343,100"
"Jun 16, 2023",143.05,143.97,142.50,143.26,141.24,"13,812,100"
"Jun 20, 2023",142.61,143.00,141.04,142.53,140.52,"8,428,600"
"Jun 21, 2023",142.90,144.02,141.69,142.32,140.31,"9,926,500"
"Jun 22, 2023",142.31,142.60,138.95,139.58,137.61,"10,075,200"
"Jun 23, 2023",138.54,139.18,137.62,138.85,136.89,"9,907,500"
"Jun 26, 2023",138.87,140.01,137.69,139.19,137.23,"8,429,700"
"Jun 27, 2023",139.00,139.84,138.54,139.20,137.24,"8,154,000"
"Jun 28, 2023",139.16,139.21,137.96,138.59,136.64,"7,558,600"
"Jun 29, 2023",140.07,143.56,139.85,143.43,141.41,"15,423,200"
"Jun 30, 2023",144.60,146.00,143.66,145.44,143.39,"14,208,500"
"Jul 03, 2023",146.19,147.48,146.00,146.61,144.54,"8,021,600"
"Jul 05, 2023",144.94,145.43,144.36,144.64,143.58,"8,934,900"
"Jul 06, 2023",143.02,143.39,141.44,143.21,142.16,"9,709,500"
"Jul 07, 2023",143.91,145.84,143.00,144.34,143.28,"8,977,500"
"Jul 10, 2023",144.50,145.99,144.50,145.15,144.09,"9,100,100"
"Jul 11, 2023",146.34,147.82,145.71,147.42,146.34,"11,265,600"
"Jul 12, 2023",147.45,149.87,147.00,148.15,147.06,"11,323,200"
"Jul 13, 2023",148.70,149.37,147.75,148.87,147.78,"11,234,900"
"Jul 14, 2023",151.55,152.89,148.41,149.77,148.67,"27,011,600"
"Jul 17, 2023",150.35,153.75,150.35,153.38,152.26,"17,262,400"
"Jul 18, 2023",153.38,154.40,152.82,153.66,152.53,"13,491,700"
"Jul 19, 2023",152.75,155.21,152.22,154.25,153.12,"12,510,000"
"Jul 20, 2023",154.53,156.59,154.41,156.15,155.01,"9,935,900"
"Jul 21, 2023",155.80,156.14,154.69,154.95,153.82,"10,633,100"
"Jul 24, 2023",154.97,158.79,154.73,158.00,156.84,"14,381,400"
"Jul 25, 2023",157.30,157.72,155.96,156.82,155.67,"9,944,700"
"Jul 26, 2023",156.71,158.25,156.28,157.76,156.60,"8,728,600"
"Jul 27, 2023",157.77,158.78,155.55,156.02,154.88,"10,778,400"
"Jul 28, 2023",157.28,157.60,156.44,156.91,155.76,"9,103,800"
"Jul 31, 2023",157.18,159.38,157.15,157.96,156.80,"8,892,700"
"Aug 01, 2023",157.43,158.00,156.15,157.18,156.03,"6,853,900"
"Aug 02, 2023",155.56,155.69,153.94,155.40,154.26,"8,299,400"
"Aug 03, 2023",155.00,156.92,154.35,156.35,155.20,"6,084,000"
"Aug 04, 2023",156.40,157.80,155.70,156.02,154.88,"6,206,600"
"Aug 07, 2023",156.60,157.70,156.60,156.76,155.61,"7,251,800"
"Aug 08, 2023",154.32,155.98,152.59,155.88,154.74,"8,623,400"
"Aug 09, 2023",155.32,155.52,153.47,153.79,152.66,"6,277,800"
"Aug 10, 2023",154.38,155.44,153.09,153.56,152.44,"5,995,100"
"Aug 11, 2023",153.03,154.52,152.63,154.45,153.32,"5,178,000"
"Aug 14, 2023",153.61,154.92,152.92,154.77,153.64,"5,044,300"
"Aug 15, 2023",152.85,153.27,150.23,150.83,149.73,"10,300,300"
"Aug 16, 2023",150.60,150.96,149.68,150.19,149.09,"6,978,200"
"Aug 17, 2023",150.88,151.26,148.40,148.63,147.54,"9,953,900"
"Aug 18, 2023",147.65,149.50,147.44,148.97,147.88,"8,516,900"
"Aug 21, 2023",149.65,150.10,148.02,149.48,148.39,"8,327,000"
"Aug 22, 2023",149.26,149.64,145.85,146.38,145.31,"9,682,000"
"Aug 23, 2023",146.35,147.59,145.46,147.37,146.29,"7,858,000"
"Aug 24, 2023",147.50,149.41,146.99,147.23,146.15,"6,534,000"
"Aug 25, 2023",147.28,148.62,145.85,147.05,145.97,"6,695,500"
"Aug 28, 2023",147.57,148.61,147.13,147.56,146.48,"5,094,100"
"Aug 29, 2023",147.71,148.85,147.18,148.76,147.67,"6,337,000"
"Aug 30, 2023",148.62,149.15,147.19,148.16,147.07,"6,277,300"
"Aug 31, 2023",148.26,148.35,145.96,146.33,145.26,"10,933,900"
"Sep 01, 2023",146.09,148.08,145.70,146.82,145.74,"7,902,100"
"Sep 05, 2023",147.16,148.21,145.01,145.20,144.14,"7,854,700"
"Sep 06, 2023",144.70,145.54,144.11,144.96,143.90,"8,629,200"
"Sep 07, 2023",144.13,145.27,143.39,143.72,142.67,"8,373,700"
"Sep 08, 2023",143.37,144.12,142.65,143.83,142.78,"7,107,900"
"Sep 11, 2023",144.75,145.05,143.69,144.46,143.40,"6,854,200"
"Sep 12, 2023",144.50,147.32,144.05,146.34,145.27,"8,363,200"
"Sep 13, 2023",147.34,147.70,145.82,146.41,145.34,"8,325,900"
"Sep 14, 2023",147.84,149.90,147.52,149.25,148.16,"10,034,900"
"Sep 15, 2023",148.92,149.73,148.31,148.81,147.72,"19,824,100"
"Sep 18, 2023",148.16,149.14,147.75,149.12,148.03,"6,512,400"
"Sep 19, 2023",149.50,149.72,147.21,148.93,147.84,"7,943,400"
"Sep 20, 2023",149.65,150.25,148.14,148.30,147.21,"7,332,000"
"Sep 21, 2023",147.58,148.85,146.63,147.14,146.06,"8,052,400"
"Sep 22, 2023",147.29,147.51,145.19,145.73,144.66,"7,071,700"
"Sep 25, 2023",145.35,146.52,143.70,146.45,145.38,"7,044,700"
"Sep 26, 2023",144.60,145.84,144.23,144.93,143.87,"7,468,400"
"Sep 27, 2023",145.19,146.09,144.51,145.78,144.71,"6,717,800"
"Sep 28, 2023",146.28,148.87,146.01,147.59,146.51,"8,868,100"
"Sep 29, 2023",148.60,148.76,144.86,145.02,143.96,"11,915,700"
"Oct 02, 2023",144.83,145.62,142.63,143.77,142.72,"9,170,600"
"Oct 03, 2023",143.20,143.59,142.35,142.71,141.66,"9,431,100"
"Oct 04, 2023",143.19,143.47,141.93,143.35,142.30,"8,128,700"
"Oct 05, 2023",142.04,143.10,140.83,142.90,142.90,"8,576,200"
"Oct 06, 2023",142.91,145.88,142.14,145.10,145.10,"10,269,400"
"Oct 09, 2023",143.66,145.40,143.50,144.77,144.77,"6,964,900"
"Oct 10, 2023",145.42,146.77,145.28,145.65,145.65,"11,288,800"
"Oct 11, 2023",146.51,147.23,145.02,146.15,146.15,"8,698,200"
"Oct 12, 2023",146.30,146.96,145.13,145.81,145.81,"10,484,400"
"Oct 13, 2023",148.50,153.11,147.84,148.00,148.00,"29,427,000"
"Oct 16, 2023",149.45,149.52,146.72,147.85,147.85,"12,663,500"
"Oct 17, 2023",147.57,149.31,146.79,147.53,147.53,"11,482,700"
"Oct 18, 2023",146.59,147.48,145.37,145.91,145.91,"9,620,300"
"Oct 19, 2023",145.48,147.02,144.88,145.29,145.29,"11,143,600"
"Oct 20, 2023",144.57,145.14,142.12,142.95,142.95,"13,332,000"
"Oct 23, 2023",142.94,143.68,140.73,141.00,141.00,"10,133,400"
"Oct 24, 2023",141.19,141.73,140.36,141.17,141.17,"8,881,400"
"Oct 25, 2023",140.57,141.18,139.51,140.40,140.40,"8,242,600"
"Oct 26, 2023",139.76,141.67,139.43,140.76,140.76,"9,109,400"
"Oct 27, 2023",138.95,139.10,135.19,135.69,135.69,"17,429,000"
"Oct 30, 2023",136.44,138.04,136.04,137.42,137.42,"9,855,500"
"Oct 31, 2023",137.71,139.24,137.47,139.06,139.06,"9,669,300"
"Nov 01, 2023",139.25,140.53,138.65,138.73,138.73,"4,171,208"
