Date,Open,High,Low,Close*,Adj Close**,Volume
"May 16, 2023",288.41,298.70,288.32,292.13,292.08,"44,940,500"
"May 17, 2023",295.84,301.99,294.30,301.78,301.72,"43,253,500"
"May 18, 2023",304.10,318.28,303.20,316.78,316.72,"74,872,500"
"May 19, 2023",315.36,315.80,309.16,312.64,312.58,"47,312,400"
"May 22, 2023",309.01,315.20,306.80,311.76,311.70,"37,200,000"
"May 23, 2023",310.00,312.88,306.31,306.88,306.82,"35,625,300"
"May 24, 2023",302.10,306.07,298.06,305.38,305.32,"72,141,900"
"May 25, 2023",385.23,394.80,366.35,379.80,379.73,"154,391,100"
"May 26, 2023",378.90,391.70,375.50,389.46,389.39,"71,439,700"
"May 30, 2023",405.95,419.38,399.49,401.11,401.04,"92,340,100"
"May 31, 2023",394.88,402.95,378.22,378.34,378.27,"100,258,000"
"Jun 01, 2023",384.89,400.50,383.40,397.70,397.63,"63,587,300"
"Jun 02, 2023",400.97,405.00,390.58,393.27,393.20,"48,165,500"
"Jun 05, 2023",389.09,395.65,387.07,391.71,391.64,"39,609,400"
"Jun 06, 2023",388.30,391.60,381.48,386.54,386.47,"38,872,900"
"Jun 07, 2023",389.15,394.99,373.56,374.75,374.72,"51,199,800"
"Jun 08, 2023",377.24,388.64,375.05,385.10,385.07,"41,777,200"
"Jun 09, 2023",390.37,397.11,385.67,387.70,387.67,"42,722,000"
"Jun 12, 2023",392.00,395.30,386.18,394.82,394.79,"38,870,100"
"Jun 13, 2023",401.86,411.01,397.40,410.22,410.19,"61,320,800"
"Jun 14, 2023",408.24,430.00,405.52,429.97,429.93,"74,046,500"
"Jun 15, 2023",426.02,432.89,421.47,426.53,426.49,"56,862,200"
"Jun 16, 2023",434.50,437.21,426.61,426.92,426.88,"65,475,500"
"Jun 20, 2023",429.98,439.90,426.74,438.08,438.04,"45,115,300"
"Jun 21, 2023",435.01,436.15,420.80,430.45,430.41,"55,160,300"
"Jun 22, 2023",422.53,434.26,422.34,430.25,430.21,"41,773,700"
"Jun 23, 2023",424.64,428.09,420.15,422.09,422.06,"35,632,300"
"Jun 26, 2023",424.61,427.64,401.00,406.32,406.29,"59,432,200"
"Jun 27, 2023",407.99,419.40,404.48,418.76,418.73,"46,217,500"
"Jun 28, 2023",406.60,418.45,405.18,411.17,411.14,"58,263,900"
"Jun 29, 2023",415.58,416.00,406.00,408.22,408.19,"38,051,400"
"Jun 30, 2023",416.80,425.50,415.01,423.02,422.99,"50,053,400"
"Jul 03, 2023",425.17,428.98,422.02,424.13,424.10,"19,820,900"
"Jul 05, 2023",421.35,431.77,420.85,423.17,423.14,"32,361,800"
"Jul 06, 2023",418.44,421.79,413.46,421.03,421.00,"30,358,200"
"Jul 07, 2023",423.22,432.14,421.80,425.03,424.99,"35,525,300"
"Jul 10, 2023",426.57,428.11,416.49,421.80,421.77,"35,390,800"
"Jul 11, 2023",424.81,427.58,420.67,424.05,424.02,"29,824,400"
"Jul 12, 2023",430.33,439.35,427.77,439.02,438.98,"48,127,700"
"Jul 13, 2023",445.18,461.55,444.92,459.77,459.73,"47,820,400"
"Jul 14, 2023",465.83,480.88,450.60,454.69,454.65,"77,066,400"
"Jul 17, 2023",462.89,464.96,452.62,464.61,464.57,"51,048,800"
"Jul 18, 2023",467.01,478.96,457.34,474.94,474.90,"57,019,000"
"Jul 19, 2023",474.64,478.18,467.42,470.77,470.73,"42,750,200"
"Jul 20, 2023",465.07,470.87,450.62,455.20,455.16,"53,786,500"
"Jul 21, 2023",457.88,458.66,441.00,443.09,443.05,"96,283,200"
"Jul 24, 2023",447.31,451.09,440.40,446.12,446.08,"38,251,600"
"Jul 25, 2023",449.41,461.83,449.23,456.79,456.75,"34,808,100"
"Jul 26, 2023",460.21,460.53,446.30,454.52,454.48,"36,423,700"
"Jul 27, 2023",465.19,473.95,457.50,459.00,458.96,"45,597,600"
"Jul 28, 2023",466.68,470.27,463.81,467.50,467.46,"33,119,400"
"Jul 31, 2023",467.54,471.30,465.06,467.29,467.25,"25,105,500"
"Aug 01, 2023",464.60,469.00,460.27,465.07,465.03,"23,785,800"
"Aug 02, 2023",458.31,458.40,433.87,442.69,442.65,"53,014,200"
"Aug 03, 2023",438.00,451.18,438.00,445.15,445.11,"32,417,600"
"Aug 04, 2023",449.85,456.42,443.93,446.80,446.76,"36,225,800"
"Aug 07, 2023",451.11,455.40,445.63,454.17,454.13,"32,215,400"
"Aug 08, 2023",448.53,452.42,440.56,446.64,446.60,"35,384,300"
"Aug 09, 2023",442.74,443.12,421.34,425.54,425.50,"58,644,900"
"Aug 10, 2023",421.60,435.74,418.35,423.88,423.85,"49,270,500"
"Aug 11, 2023",417.51,420.18,406.39,408.55,408.52,"53,200,900"
"Aug 14, 2023",404.86,438.00,403.11,437.53,437.49,"69,028,600"
"Aug 15, 2023",445.60,452.68,437.10,439.40,439.36,"67,651,200"
"Aug 16, 2023",445.20,446.75,434.06,434.86,434.82,"52,745,100"
"Aug 17, 2023",439.70,440.62,430.01,433.44,433.40,"45,239,500"
"Aug 18, 2023",426.35,435.78,416.60,432.99,432.95,"58,262,200"
"Aug 21, 2023",444.94,470.65,442.22,469.67,469.63,"69,257,300"
"Aug 22, 2023",481.35,481.87,453.33,456.68,456.64,"75,720,700"
"Aug 23, 2023",458.66,472.00,452.08,471.16,471.12,"77,904,600"
"Aug 24, 2023",502.16,502.66,471.59,471.63,471.59,"115,604,400"
"Aug 25, 2023",470.12,478.05,450.24,460.18,460.14,"92,534,100"
"Aug 28, 2023",464.82,469.80,448.88,468.35,468.31,"68,519,200"
"Aug 29, 2023",466.66,490.81,463.91,487.84,487.80,"70,139,700"
"Aug 30, 2023",490.44,499.27,484.25,492.64,492.60,"73,520,600"
"Aug 31, 2023",493.80,497.44,489.58,493.55,493.51,"52,857,000"
"Sep 01, 2023",497.62,498.00,481.42,485.09,485.05,"46,319,100"
"Sep 05, 2023",482.23,488.51,478.60,485.48,485.44,"38,265,300"
"Sep 06, 2023",484.41,485.49,465.80,470.61,470.61,"46,867,000"
"Sep 07, 2023",455.25,463.44,451.52,462.41,462.41,"43,333,000"
"Sep 08, 2023",459.42,466.06,452.71,455.72,455.72,"47,306,900"
"Sep 11, 2023",461.48,461.63,443.12,451.78,451.78,"47,396,600"
"Sep 12, 2023",447.38,456.73,445.31,448.70,448.70,"34,925,600"
"Sep 13, 2023",446.00,459.30,445.03,454.85,454.85,"39,835,500"
"Sep 14, 2023",459.50,459.87,451.31,455.81,455.81,"37,009,700"
"Sep 15, 2023",453.41,455.99,438.08,439.00,439.00,"50,571,300"
"Sep 18, 2023",427.48,442.42,420.00,439.66,439.66,"50,027,100"
"Sep 19, 2023",438.33,439.66,430.02,435.20,435.20,"37,306,400"
"Sep 20, 2023",436.00,439.03,422.23,422.39,422.39,"36,710,800"
"Sep 21, 2023",415.83,421.00,409.80,410.17,410.17,"44,893,000"
"Sep 22, 2023",415.72,421.15,412.31,416.10,416.10,"47,923,600"
"Sep 25, 2023",415.91,425.36,411.77,422.22,422.22,"41,909,100"
"Sep 26, 2023",420.01,428.20,416.55,419.11,419.11,"40,228,200"
"Sep 27, 2023",423.30,428.72,416.29,424.68,424.68,"44,493,500"
"Sep 28, 2023",424.60,434.46,421.15,430.89,430.89,"42,466,300"
"Sep 29, 2023",438.27,441.44,433.07,434.99,434.99,"39,722,100"
"Oct 02, 2023",440.30,451.75,438.61,447.82,447.82,"43,329,800"
"Oct 03, 2023",448.08,451.30,432.46,435.17,435.17,"47,085,000"
"Oct 04, 2023",437.42,441.43,432.92,440.41,440.41,"36,182,100"
