Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 04, 2023",5.12,5.72,5.12,5.48,5.48,"340,000"
"Oct 03, 2023",4.65,5.09,4.60,5.04,5.04,"172,200"
"Oct 02, 2023",4.78,5.15,4.61,4.74,4.74,"145,200"
"Sep 29, 2023",5.15,5.28,4.77,4.88,4.88,"104,600"
"Sep 28, 2023",4.89,5.25,4.84,5.05,5.05,"77,100"
"Sep 27, 2023",4.69,5.02,4.63,4.83,4.83,"129,200"
"Sep 26, 2023",4.81,4.94,4.67,4.70,4.70,"95,600"
"Sep 25, 2023",4.90,5.00,4.70,4.81,4.81,"107,200"
"Sep 22, 2023",5.36,5.36,4.61,4.90,4.90,"117,000"
"Sep 21, 2023",4.90,5.19,4.76,5.13,5.13,"85,600"
"Sep 20, 2023",5.50,5.50,4.98,5.01,5.01,"118,100"
"Sep 19, 2023",5.50,5.50,5.12,5.23,5.23,"112,200"
"Sep 18, 2023",5.45,5.75,5.27,5.40,5.40,"196,700"
"Sep 15, 2023",5.79,5.86,5.35,5.45,5.45,"158,200"
"Sep 14, 2023",5.27,6.00,5.27,5.90,5.90,"199,000"
"Sep 13, 2023",5.39,5.88,4.95,5.32,5.32,"396,200"
"Sep 12, 2023",5.02,5.46,5.00,5.39,5.39,"229,400"
"Sep 11, 2023",4.54,5.08,4.54,4.98,4.98,"179,900"
"Sep 08, 2023",4.04,4.65,4.04,4.54,4.54,"170,400"
"Sep 07, 2023",3.95,4.13,3.91,4.07,4.07,"71,000"
"Sep 06, 2023",3.94,4.06,3.93,3.97,3.97,"44,600"
"Sep 05, 2023",4.15,4.27,3.96,4.02,4.02,"57,800"
"Sep 01, 2023",3.95,4.25,3.90,4.18,4.18,"81,000"
"Aug 31, 2023",4.03,4.12,3.84,3.91,3.91,"69,300"
"Aug 30, 2023",3.98,4.04,3.60,3.99,3.99,"266,800"
"Aug 29, 2023",4.10,4.25,3.95,3.96,3.96,"220,100"
"Aug 28, 2023",4.90,4.95,3.99,4.04,4.04,"339,400"
"Aug 25, 2023",4.99,5.04,4.81,4.96,4.96,"52,800"
"Aug 24, 2023",4.92,5.04,4.85,4.97,4.97,"59,800"
"Aug 23, 2023",4.55,5.35,4.55,5.05,5.05,"415,100"
"Aug 22, 2023",4.18,4.58,4.08,4.48,4.48,"107,000"
"Aug 21, 2023",4.06,4.20,4.05,4.14,4.14,"72,900"
"Aug 18, 2023",4.00,4.33,3.91,4.13,4.13,"211,100"
"Aug 17, 2023",4.23,4.23,3.95,4.02,4.02,"175,100"
"Aug 16, 2023",4.21,4.31,4.00,4.00,4.00,"92,600"
"Aug 15, 2023",4.16,4.45,4.05,4.27,4.27,"81,300"
"Aug 14, 2023",4.09,4.20,3.92,4.17,4.17,"71,000"
"Aug 11, 2023",4.30,4.45,4.08,4.13,4.13,"83,700"
"Aug 10, 2023",4.05,4.54,3.98,4.32,4.32,"223,600"
"Aug 09, 2023",4.00,4.09,3.95,4.04,4.04,"43,200"
"Aug 08, 2023",4.07,4.10,3.90,4.01,4.01,"109,200"
"Aug 07, 2023",4.18,4.25,3.95,4.10,4.10,"141,600"
