Date,Open,High,Low,Close*,Adj Close**,Volume
"May 12, 2023",7.8500,8.0300,7.2000,7.3400,7.3400,"204,800"
"May 15, 2023",7.2400,8.2200,7.2400,7.9900,7.9900,"119,600"
"May 16, 2023",7.3500,7.9900,7.3100,7.7400,7.7400,"76,100"
"May 17, 2023",7.7400,8.3000,7.7400,7.9800,7.9800,"162,800"
"May 18, 2023",8.0500,8.3000,7.4100,7.5500,7.5500,"131,300"
"May 19, 2023",7.5800,7.6700,7.2700,7.3000,7.3000,"93,200"
"May 22, 2023",7.3600,7.4700,6.6200,7.0200,7.0200,"278,900"
"May 23, 2023",6.9200,7.3000,6.3700,6.5300,6.5300,"264,000"
"May 24, 2023",6.4100,6.8000,6.2500,6.4100,6.4100,"206,500"
"May 25, 2023",6.5000,6.6900,5.2100,5.5900,5.5900,"637,400"
"May 26, 2023",5.5500,5.7300,5.2500,5.2800,5.2800,"218,700"
"May 30, 2023",5.3000,5.6400,4.9200,5.4700,5.4700,"273,900"
"May 31, 2023",5.4400,6.2200,5.4400,6.1100,6.1100,"168,200"
"Jun 01, 2023",6.1500,6.6800,6.0700,6.4500,6.4500,"136,800"
"Jun 02, 2023",6.4400,6.9200,6.3100,6.7800,6.7800,"182,000"
"Jun 05, 2023",6.5800,6.8000,6.3600,6.6200,6.6200,"97,000"
"Jun 06, 2023",6.6000,7.2900,6.6000,6.9300,6.9300,"239,000"
"Jun 07, 2023",6.9000,7.3300,6.8500,7.1600,7.1600,"151,800"
"Jun 08, 2023",7.2300,8.0000,7.0200,7.1500,7.1500,"488,300"
"Jun 09, 2023",7.1500,7.2100,6.6200,6.8500,6.8500,"213,700"
"Jun 12, 2023",6.8600,6.8600,6.2700,6.3100,6.3100,"192,000"
"Jun 13, 2023",6.3700,6.6800,6.2500,6.4900,6.4900,"106,700"
"Jun 14, 2023",6.3900,6.4800,6.1300,6.2000,6.2000,"83,400"
"Jun 15, 2023",6.2000,6.3700,5.9100,6.2200,6.2200,"174,100"
"Jun 16, 2023",6.1800,6.3900,5.9800,5.9800,5.9800,"175,600"
"Jun 20, 2023",5.9800,6.4800,5.9100,6.0900,6.0900,"170,700"
"Jun 21, 2023",5.9900,6.0300,5.3000,5.5400,5.5400,"601,600"
"Jun 22, 2023",5.6000,5.8700,5.4500,5.7500,5.7500,"139,100"
"Jun 23, 2023",5.7900,6.4600,5.6900,5.8300,5.8300,"517,200"
"Jun 26, 2023",5.8600,6.0000,5.6000,5.7600,5.7600,"225,400"
"Jun 27, 2023",5.8000,5.8000,5.4400,5.6000,5.6000,"192,800"
"Jun 28, 2023",5.6100,5.9400,5.4500,5.7700,5.7700,"142,300"
"Jun 29, 2023",5.7900,6.0000,5.4600,5.7500,5.7500,"147,800"
"Jun 30, 2023",5.8500,5.9700,5.7000,5.8600,5.8600,"95,100"
"Jul 03, 2023",5.9200,5.9200,5.6000,5.7500,5.7500,"54,600"
"Jul 05, 2023",5.9000,5.9000,5.4500,5.7000,5.7000,"227,900"
"Jul 06, 2023",5.5400,5.5600,5.1600,5.4100,5.4100,"265,600"
"Jul 07, 2023",5.3800,5.7000,4.9900,5.3100,5.3100,"283,400"
"Jul 10, 2023",5.3100,5.5000,4.7700,4.8000,4.8000,"346,200"
"Jul 11, 2023",4.9500,5.2000,4.7000,5.1500,5.1500,"689,000"
"Jul 12, 2023",5.0900,5.0900,4.7800,4.9000,4.9000,"208,200"
"Jul 13, 2023",4.8800,5.0400,4.8500,5.0000,5.0000,"138,800"
"Jul 14, 2023",5.0100,5.2700,5.0100,5.0900,5.0900,"130,800"
"Jul 17, 2023",5.1000,5.1400,4.8600,4.9200,4.9200,"164,800"
"Jul 18, 2023",4.9400,4.9400,4.5500,4.6500,4.6500,"289,200"
"Jul 19, 2023",4.6400,4.9100,4.6100,4.6500,4.6500,"102,600"
"Jul 20, 2023",4.7200,4.9900,4.6300,4.8700,4.8700,"75,000"
"Jul 21, 2023",4.8900,5.0100,4.8200,4.9700,4.9700,"34,600"
"Jul 24, 2023",4.9700,5.0500,4.6400,4.6900,4.6900,"125,700"
"Jul 25, 2023",4.6900,4.9600,4.1000,4.2000,4.2000,"347,500"
"Jul 26, 2023",4.1800,4.4700,3.9200,3.9900,3.9900,"186,100"
"Jul 27, 2023",4.1500,4.2900,4.0000,4.1800,4.1800,"150,900"
"Jul 28, 2023",4.2500,4.6600,4.2100,4.6000,4.6000,"196,000"
"Jul 31, 2023",4.5800,4.7700,4.4900,4.7400,4.7400,"58,700"
"Aug 01, 2023",4.7500,4.8200,4.6200,4.7900,4.7900,"85,600"
"Aug 02, 2023",4.8000,4.8000,4.4500,4.5100,4.5100,"47,800"
"Aug 03, 2023",4.4200,4.5500,4.2300,4.3000,4.3000,"108,800"
"Aug 04, 2023",4.3100,4.3100,3.9500,4.0300,4.0300,"338,100"
"Aug 07, 2023",4.1800,4.2500,3.9500,4.1000,4.1000,"141,600"
"Aug 08, 2023",4.0700,4.1000,3.9000,4.0100,4.0100,"109,200"
"Aug 09, 2023",4.0000,4.0900,3.9500,4.0400,4.0400,"43,200"
"Aug 10, 2023",4.0500,4.5400,3.9800,4.3200,4.3200,"223,600"
"Aug 11, 2023",4.3000,4.4500,4.0800,4.1300,4.1300,"83,700"
"Aug 14, 2023",4.0900,4.2000,3.9200,4.1700,4.1700,"71,000"
"Aug 15, 2023",4.1600,4.4500,4.0500,4.2700,4.2700,"81,300"
"Aug 16, 2023",4.2100,4.3100,4.0000,4.0000,4.0000,"92,600"
"Aug 17, 2023",4.2300,4.2300,3.9500,4.0200,4.0200,"175,100"
"Aug 18, 2023",4.0000,4.3300,3.9100,4.1300,4.1300,"211,100"
"Aug 21, 2023",4.0600,4.2000,4.0500,4.1400,4.1400,"72,900"
"Aug 22, 2023",4.1800,4.5800,4.0800,4.4800,4.4800,"107,000"
"Aug 23, 2023",4.5500,5.3500,4.5500,5.0500,5.0500,"415,100"
"Aug 24, 2023",4.9200,5.0400,4.8500,4.9700,4.9700,"59,800"
"Aug 25, 2023",4.9900,5.0400,4.8100,4.9600,4.9600,"52,800"
"Aug 28, 2023",4.9000,4.9500,3.9900,4.0400,4.0400,"339,400"
"Aug 29, 2023",4.1000,4.2500,3.9500,3.9600,3.9600,"220,100"
"Aug 30, 2023",3.9800,4.0400,3.6000,3.9900,3.9900,"266,800"
"Aug 31, 2023",4.0300,4.1200,3.8400,3.9100,3.9100,"69,300"
"Sep 01, 2023",3.9500,4.2500,3.9000,4.1800,4.1800,"81,000"
"Sep 05, 2023",4.1500,4.2700,3.9600,4.0200,4.0200,"57,800"
"Sep 06, 2023",3.9400,4.0600,3.9300,3.9700,3.9700,"44,600"
"Sep 07, 2023",3.9500,4.1300,3.9100,4.0700,4.0700,"71,000"
"Sep 08, 2023",4.0400,4.6500,4.0400,4.5400,4.5400,"170,400"
"Sep 11, 2023",4.5400,5.0800,4.5400,4.9800,4.9800,"179,900"
"Sep 12, 2023",5.0200,5.4600,5.0000,5.3900,5.3900,"229,400"
"Sep 13, 2023",5.3900,5.8800,4.9500,5.3200,5.3200,"396,200"
"Sep 14, 2023",5.2700,6.0000,5.2700,5.9000,5.9000,"199,000"
"Sep 15, 2023",5.7900,5.8600,5.3500,5.4500,5.4500,"158,200"
"Sep 18, 2023",5.4500,5.7500,5.2700,5.4000,5.4000,"196,700"
"Sep 19, 2023",5.5000,5.5000,5.1200,5.2300,5.2300,"112,200"
"Sep 20, 2023",5.5000,5.5000,4.9800,5.0100,5.0100,"118,100"
"Sep 21, 2023",4.9000,5.1900,4.7600,5.1300,5.1300,"85,600"
"Sep 22, 2023",5.3600,5.3600,4.6100,4.9000,4.9000,"117,000"
"Sep 25, 2023",4.9000,5.0000,4.7000,4.8100,4.8100,"107,200"
"Sep 26, 2023",4.8100,4.9400,4.6700,4.7000,4.7000,"95,600"
"Sep 27, 2023",4.6900,5.0200,4.6300,4.8300,4.8300,"129,200"
"Sep 28, 2023",4.8900,5.2500,4.8400,5.0500,5.0500,"77,100"
"Sep 29, 2023",5.1500,5.2800,4.7700,4.8800,4.8800,"104,600"
"Oct 02, 2023",4.7800,5.1500,4.6100,4.7400,4.7400,"145,200"
"Oct 03, 2023",4.6500,5.0900,4.6000,5.0400,5.0400,"172,200"
"Oct 04, 2023",5.1200,5.7200,5.1200,5.4800,5.4800,"340,000"
